thetaV,PC1,PC2,PCMinP,PCFisher,PCLC,WI,Wald,VC,MinP,Oracle,PCAQ,PCO
250,0.25093,0.22468,0.29668,0.33468,0.37866,0.28793,0.33548,0.26349,0.31956,0.42038,0.31283,0.33682
255,0.23432,0.29644,0.33506,0.37883,0.44552,0.28406,0.37325,0.33523,0.33569,0.469,0.35234,0.38288
260,0.21472,0.36826,0.37631,0.4201,0.50909,0.28051,0.41593,0.40978,0.34421,0.52012,0.39931,0.43419
265,0.19123,0.44817,0.42524,0.46916,0.56441,0.2787,0.46054,0.47741,0.35375,0.56708,0.44716,0.48277
270,0.17332,0.52023,0.47602,0.50789,0.61662,0.27453,0.5094,0.54368,0.35923,0.61551,0.49617,0.53158
275,0.14926,0.58661,0.52607,0.55089,0.65782,0.27373,0.55275,0.6051,0.36423,0.65952,0.5424,0.57444
280,0.12919,0.64684,0.57598,0.58634,0.6871,0.27168,0.58972,0.6541,0.36348,0.69497,0.58734,0.61466
285,0.1104,0.6924,0.61686,0.61937,0.71224,0.27234,0.62324,0.69838,0.36132,0.72633,0.62592,0.64934
290,0.09222,0.73608,0.65071,0.64853,0.7313,0.27199,0.65615,0.73656,0.36385,0.75779,0.66377,0.68044
295,0.07895,0.76211,0.68073,0.67048,0.7443,0.27205,0.6827,0.76371,0.35902,0.77487,0.6865,0.69842
300,0.06395,0.78505,0.70896,0.68935,0.74527,0.27183,0.69837,0.78383,0.35626,0.79216,0.70777,0.71514
305,0.0577,0.79887,0.72005,0.69967,0.74623,0.27394,0.71209,0.79564,0.351,0.80261,0.72296,0.72664
310,0.05365,0.80715,0.73236,0.70845,0.7378,0.27142,0.72118,0.8066,0.35585,0.80979,0.73213,0.73198
315,0.04994,0.81351,0.73618,0.71109,0.72018,0.27435,0.7237,0.8087,0.35368,0.81311,0.73674,0.73295
320,0.05266,0.81036,0.73017,0.70821,0.69813,0.27332,0.71963,0.80632,0.35239,0.80857,0.73172,0.72642
325,0.05564,0.79946,0.72277,0.69989,0.66977,0.2719,0.71465,0.79726,0.35256,0.80398,0.72467,0.71616
330,0.06528,0.78337,0.70447,0.68757,0.63036,0.2712,0.69974,0.78427,0.35448,0.79247,0.70951,0.69798
335,0.07763,0.76158,0.68396,0.67232,0.58367,0.27215,0.68059,0.75895,0.35843,0.77722,0.68939,0.67548
340,0.092,0.73316,0.65219,0.65076,0.53305,0.27291,0.65767,0.73774,0.36285,0.75139,0.6572,0.64243
345,0.1088,0.69383,0.61976,0.62271,0.46927,0.27239,0.6247,0.70066,0.36623,0.72796,0.62706,0.61083
350,0.12977,0.6447,0.57566,0.58701,0.40636,0.274,0.59287,0.65319,0.36511,0.69453,0.58599,0.56772
355,0.1478,0.58622,0.52435,0.55051,0.33776,0.27379,0.55244,0.60325,0.36395,0.65543,0.54001,0.52049
360,0.17486,0.52084,0.47419,0.51089,0.27017,0.27767,0.50816,0.54196,0.35971,0.61118,0.49438,0.4746
